Race_ID,Odds,BSP,Distance_All,Finish_All,Races_All,Odds_Recent,Odds_380,Time_380,Dist_By,y_real,y_pred,y_prob,Position,Finished
965,5.0,5.97,380.0,3.74,39,5.25,4.96,24.03,-2.79,0,0,0.14483823323146414,4,4
1605,5.5,7.0,418.76,3.85,33,5.0,4.79,24.34,-5.43,0,0,0.14486746939797857,4,6
798,6.0,8.0,402.86,3.92,21,5.08,4.64,20.81,-9.96,0,0,0.14488073237853605,4,5
67,4.5,6.91,407.46,3.87,78,7.04,7.04,24.08,-1.68,0,0,0.14493746066552998,4,3
280,4.5,5.9,398.47,3.04,15,4.92,4.92,24.23,-1.58,0,0,0.14494635854539448,4,2
267,5.5,5.77,413.88,3.77,41,6.79,6.79,24.34,-3.96,0,0,0.14495635795588005,4,5
36,4.0,6.59,432.97,3.41,148,4.46,4.68,24.27,-2.04,0,0,0.14497307057275058,4,2
1511,6.0,8.4,380.0,4.14,136,7.79,7.79,24.64,-2.29,0,0,0.1451482004894461,4,6
174,4.5,7.0,410.86,3.5,162,5.86,5.86,24.4,-3.86,0,0,0.1451504952875271,4,5
353,6.0,7.0,475.62,4.41,40,7.25,6.0,24.07,-6.0,0,0,0.14516452918743974,4,6
1520,5.0,5.7,450.29,4.1,41,4.75,5.21,24.57,-2.18,0,0,0.1451731227676648,4,3
344,5.0,7.85,405.9,3.97,29,8.21,8.21,24.56,-5.43,0,0,0.14522965973184493,4,6
1115,5.0,5.5,384.76,2.87,42,5.0,5.0,24.14,-2.04,0,0,0.14523453964268496,4,3
435,6.0,9.54,441.18,4.97,34,5.85,5.0,21.28,-13.86,0,0,0.1452604435884167,4,6
1315,4.5,7.46,380.0,3.23,42,6.32,6.32,24.21,-4.54,0,0,0.1452990280534634,4,3
1095,4.5,10.5,379.68,3.81,19,5.04,4.89,20.63,-10.36,0,0,0.14530466998303457,4,5
512,6.0,8.25,408.42,3.57,95,5.68,5.68,24.16,-3.32,1,0,0.1453104422650693,4,1
220,5.5,6.61,372.33,4.33,12,5.12,4.75,24.66,-4.0,0,0,0.1453769093802066,4,3
1808,7.0,9.88,375.64,3.16,118,10.86,10.86,23.93,-4.46,0,0,0.1454108243687087,4,3
561,5.0,8.0,395.71,3.28,163,7.86,7.86,24.04,-2.0,0,0,0.1454381974020006,4,2
1531,5.0,5.78,398.06,3.77,62,4.96,4.96,24.57,-6.29,0,0,0.14546863599299456,4,4
891,7.0,7.55,396.51,3.67,126,6.5,6.5,24.71,-5.57,0,0,0.1455002249056565,4,4
1845,5.0,6.01,425.79,3.95,29,4.79,4.36,23.94,-1.93,0,0,0.14552934169554896,4,4
124,7.0,7.4,399.9,3.84,31,6.14,6.14,24.35,-1.82,1,0,0.14555283985159828,4,1
433,6.0,6.2,380.0,3.05,7,3.12,3.12,24.49,-4.0,0,0,0.14555984877733769,4,6
1449,4.5,5.3,380.0,3.13,13,4.58,4.79,20.99,-9.36,0,0,0.1456493610405836,4,2
1439,4.5,5.7,381.01,3.29,99,4.54,4.61,24.33,-3.86,0,0,0.14567497787630393,4,4
964,5.0,5.28,376.49,3.4,37,5.29,5.29,24.36,-4.11,0,0,0.1457757354542467,4,5
1295,4.5,5.2,380.0,5.71,5,5.0,5.0,0.0,-50.0,0,0,0.1458139054341186,4,2
1730,5.0,5.93,382.56,3.67,125,6.43,6.43,24.35,-2.89,0,0,0.14581475965339985,4,4
16,5.5,6.2,450.77,3.52,52,5.86,5.86,24.31,-5.0,0,0,0.1458914602793489,4,6
597,6.0,6.15,378.15,3.56,96,4.5,4.5,24.36,-4.54,0,0,0.1460379424460442,4,6
147,4.0,6.6,384.1,3.66,21,5.93,5.93,24.25,-6.36,0,0,0.1460659114146965,4,5
572,5.0,7.6,416.13,3.03,31,4.3,4.18,24.14,-1.0,1,0,0.1461465655301149,4,1
334,6.0,6.2,471.6,3.71,86,6.5,6.5,24.86,-6.0,0,0,0.14625032355043385,4,4
300,4.5,6.2,385.41,3.38,37,4.86,4.86,24.15,-4.57,0,0,0.14631152995533922,4,4
1395,5.0,8.8,408.92,3.66,157,5.36,5.36,24.2,-4.0,0,0,0.14634582639961904,4,3
1691,4.5,5.3,380.0,4.21,13,5.5,5.5,24.77,-6.29,0,0,0.1463479551257825,4,2
287,4.5,7.0,421.84,3.84,31,4.43,4.43,24.03,-3.0,0,0,0.14635012571019224,4,4
1586,4.0,6.4,416.11,3.86,36,5.29,4.93,24.17,-2.71,0,0,0.1463684482282488,4,2
1479,4.0,6.4,378.0,3.49,18,5.43,5.21,24.01,-1.86,0,0,0.1463887970758738,4,6
306,4.5,5.72,380.0,3.82,53,6.0,6.0,24.54,-3.14,0,0,0.14660239035461298,4,6
1292,5.0,6.24,428.33,4.15,12,4.38,5.297020106000001,24.265,-4.486880364,0,0,0.14664183819426618,4,2
863,4.5,9.0,404.44,3.94,27,4.04,4.46,24.27,-2.71,1,0,0.146644799506764,4,1
1957,4.5,5.56,400.0,4.55,10,4.0,4.0,24.74,-4.33,0,0,0.14665164931840086,4,3
847,4.5,5.25,380.0,3.34,133,5.5,5.5,24.2,-2.5,0,0,0.1467120576341638,4,4
1921,5.0,5.5,380.88,3.2,114,4.86,4.86,24.32,-3.39,0,0,0.14672544311913996,4,4
1324,5.0,6.3,380.0,3.99,22,4.9,5.36,24.45,-5.75,0,0,0.14676112205698882,4,3
189,5.0,7.18,375.34,3.63,74,4.71,4.71,24.01,-3.29,1,0,0.14686711052748977,4,1
330,5.0,5.7,412.35,3.28,71,5.0,4.79,24.57,-3.36,0,0,0.14686957441918952,4,2
4,7.0,9.0,380.0,4.75,15,6.11,6.11,24.75,-5.29,1,0,0.14687260954840675,4,1
586,5.0,6.2,388.49,3.81,35,4.88,4.68,24.48,-3.29,0,0,0.14687334554137452,4,4
320,4.5,5.8,359.75,3.62,16,4.29,4.32,24.32,-5.0,0,0,0.14687413533732527,4,6
754,8.0,11.0,444.38,3.17,168,5.31,8.0,24.18,-5.5,0,0,0.14692532337291722,4,3
1124,4.5,5.71,450.83,3.08,24,5.0,5.14,24.07,-2.57,0,0,0.14698387393379433,4,5
995,4.0,9.82,421.4,4.38,10,4.25,3.5,24.56,-7.0,0,0,0.14698741943338564,4,6
592,6.0,10.8,380.0,3.38,46,4.64,4.64,24.16,-4.0,1,0,0.14699574608231405,4,1
1193,4.5,5.34,415.76,3.9,21,6.25,6.25,24.41,-2.19,0,0,0.1470287190059065,4,6
465,6.0,9.4,396.33,2.84,18,5.03,5.03,24.02,-3.54,0,0,0.14704335859346002,4,3
1537,5.0,6.19,433.33,3.76,60,8.0,7.43,24.4,-5.21,0,0,0.14704967196175855,4,4
1165,4.5,5.48,418.18,3.29,88,4.25,3.61,24.23,-1.29,0,0,0.14707233139098005,4,4
1654,11.0,17.63,536.58,3.89,45,5.3,6.25,24.23,-2.0,1,0,0.14717754370367644,4,1
940,4.0,4.95,374.95,2.58,40,6.79,4.79,24.27,-4.71,0,0,0.1471967641198047,4,3
102,5.0,6.91,417.97,3.8,59,7.3,6.79,20.83,-12.57,0,0,0.14720357521820723,4,5
549,5.0,4.79,414.67,3.48,120,6.64,6.64,24.47,-2.46,0,0,0.14728598974893387,4,4
413,5.0,6.88,404.5,3.43,111,4.61,4.82,24.28,-1.39,0,0,0.14729659991309804,4,5
1673,4.0,5.66,405.09,2.77,55,5.58,5.21,24.18,-5.07,0,0,0.14731952525640582,4,5
794,5.0,6.49,485.76,3.53,59,5.38,4.86,20.77,-12.29,0,0,0.147321504492665,4,6
638,5.5,5.9,417.85,3.17,52,7.42,7.21,20.55,-10.82,0,0,0.1473415725936298,4,4
286,4.5,6.4,380.0,4.36,9,4.92,4.92,24.71,-5.33,0,0,0.1474133032239039,4,6
1168,4.5,6.4,380.0,3.85,133,9.29,9.29,24.54,-2.32,0,0,0.14741571375575074,4,6
1471,6.0,9.6,498.4,3.37,212,7.14,7.29,24.24,-4.39,0,0,0.14747642542203798,4,5
729,6.0,7.99,390.67,3.38,30,7.42,7.36,24.22,-6.04,0,0,0.14747830070826887,4,6
1843,4.0,7.47,485.79,4.95,29,5.8,7.0,21.22,-4.5,0,0,0.14754523745753817,4,4
859,7.0,9.2,391.68,3.3,19,5.0,5.0,24.42,-4.93,1,0,0.14756051307620582,4,1
1731,6.0,6.2,384.8,3.16,75,5.86,5.86,24.29,-6.14,0,0,0.1475700462631987,4,2
1286,4.0,5.89,380.0,3.14,5,3.75,3.75,24.28,-2.5,0,0,0.1475745207690886,4,5
65,6.0,7.4,413.68,3.51,133,7.0,7.0,24.16,-2.29,0,0,0.14762490154534724,4,4
85,5.0,5.3,382.71,3.69,118,4.46,4.46,24.55,-3.75,0,0,0.14762688320157072,4,5
681,5.0,6.2,400.76,3.52,75,4.71,4.71,24.28,-3.57,0,0,0.1476424138316385,4,2
1249,6.0,9.26,401.33,4.21,30,4.8,3.68,24.55,-4.29,1,0,0.14769712457582326,4,1
596,6.0,6.93,401.04,3.86,24,6.2,6.2,24.57,-6.9,0,0,0.1477119768547563,4,6
1192,5.0,5.86,381.31,4.19,13,4.61,4.61,24.73,-6.89,0,0,0.14773294844023865,4,5
662,5.0,5.63,375.59,3.67,34,5.43,5.43,24.49,-3.89,0,0,0.1477687790038223,4,6
1257,4.5,6.2,377.75,2.85,51,6.64,4.29,23.99,-2.43,0,0,0.14778154077982425,4,3
1097,5.0,6.0,426.8,3.56,45,4.79,4.79,24.2,-4.71,0,0,0.1479378849794802,4,3
1393,4.0,6.0,373.36,3.12,22,5.5,4.79,24.05,-1.86,0,0,0.1479465780796938,4,3
1215,5.5,6.6,413.96,2.84,45,5.07,6.57,24.33,-2.46,0,0,0.14797653668714272,4,6
249,5.0,5.75,376.7,2.95,97,6.61,6.61,24.25,-3.29,0,0,0.148012929812125,4,5
1962,5.0,7.0,385.71,3.6,70,5.46,5.46,24.73,-4.25,1,0,0.1481095546696272,4,1
1271,6.0,9.2,380.0,4.25,23,4.62,4.96,21.26,-9.54,0,0,0.1481602882727371,4,6
1725,4.0,5.39,376.39,3.48,46,4.14,4.14,23.98,-1.14,1,0,0.148193170743801,4,1
1296,5.0,5.8,383.03,3.59,29,4.64,4.64,24.39,-4.29,0,0,0.148232544410516,4,5
1716,5.0,5.9,381.42,4.32,12,4.39,4.39,24.77,-7.75,0,0,0.14824173017209508,4,3
375,9.0,15.75,387.4,2.96,30,4.92,5.07,24.16,-4.21,0,0,0.14826453574820794,4,5
139,8.0,7.05,380.0,3.75,119,5.67,6.0,21.17,-10.71,0,0,0.14827167242639364,4,3
1580,6.0,8.2,431.29,3.69,38,4.38,4.32,20.61,-8.43,0,0,0.14832134713707915,4,2
1795,4.0,7.54,384.61,3.54,133,3.67,3.79,24.72,-6.04,0,0,0.1483271815589851,4,3
451,5.5,6.4,398.18,4.32,11,4.12,4.12,24.68,-4.0,0,0,0.14834285449731785,4,6
1989,5.5,7.8,438.61,3.84,101,4.36,4.36,24.58,-3.61,1,0,0.14834926525223807,4,1
312,5.5,8.25,380.0,3.74,127,6.29,6.29,24.72,-4.29,0,0,0.1483709102171575,4,3
484,7.0,7.72,422.7,3.77,33,7.0,7.0,23.65,4.0,0,0,0.14845667217631311,4,6
841,7.0,9.76,380.0,4.08,47,6.21,6.21,24.9,-5.75,1,0,0.14851284080830865,4,1
243,7.0,6.6,380.0,3.86,3,5.354239896,5.297020106000001,24.34,-4.486880364,1,0,0.14854097910343916,4,1
1270,4.5,6.8,398.04,3.6,28,6.14,6.14,24.41,-2.71,0,0,0.14854638904434134,4,4
1127,4.5,6.4,380.38,3.11,136,4.82,4.82,24.2,-2.71,0,0,0.14859238381349818,4,2
849,6.0,7.6,374.28,3.97,29,7.64,7.64,24.57,-5.14,0,0,0.14866757867952018,4,2
1986,5.0,5.7,380.0,3.7,54,6.07,6.07,24.68,-5.14,1,0,0.14870025278848803,4,1
598,4.5,6.2,380.0,3.33,22,5.04,5.04,24.52,-4.43,0,0,0.1487060712292493,4,2
1312,6.0,7.0,361.92,3.3,93,6.11,6.11,24.16,-3.39,0,0,0.14875708913360786,4,6
74,5.0,5.8,378.17,3.38,58,5.6,5.43,24.61,-6.29,1,0,0.14877964028211482,4,1
755,4.5,5.9,380.71,2.65,24,4.71,4.71,23.83,-0.54,0,0,0.1488290335879638,4,5
292,4.5,5.7,390.74,3.57,47,5.93,5.93,24.5,-5.32,0,0,0.14885269706942122,4,3
753,6.0,8.4,380.0,3.87,150,7.43,7.43,24.97,-7.43,0,0,0.14887960332014313,4,5
1911,7.0,7.6,380.0,5.5,11,5.4,5.4,20.34,-12.67,0,0,0.14888802808405882,4,3
1022,5.0,6.0,383.45,3.2,116,4.86,4.86,24.08,-2.43,0,0,0.14889807575281988,4,3
1505,5.0,5.7,380.77,2.78,22,4.93,4.93,23.88,-0.71,0,0,0.14893998234842665,4,2
704,5.0,6.4,387.56,3.49,127,5.18,5.18,24.37,-3.86,0,0,0.14895248993719862,4,4
1213,7.0,8.0,464.03,3.53,38,6.0,6.0,24.73,-5.0,0,0,0.14900371249138217,4,2
1357,5.0,8.26,380.0,2.91,13,4.32,4.32,24.34,-1.89,1,0,0.14900964354889706,4,1
731,5.5,6.37,444.27,3.57,40,5.67,5.32,24.18,-3.07,0,0,0.1490550782208499,4,3
1156,6.0,9.97,398.0,2.86,17,5.1,5.1,24.05,-3.55,0,0,0.14918762107611871,4,3
480,5.5,5.96,398.18,3.49,11,3.7,3.7,23.92,-2.45,0,0,0.14918895784833522,4,2
663,6.0,7.42,380.57,3.05,30,6.93,6.93,24.02,-4.82,0,0,0.149190267084339,4,6
1569,4.5,5.98,465.05,3.52,86,4.21,4.21,24.23,-3.46,0,0,0.1492026461684332,4,4
1004,7.0,5.9,380.0,3.16,33,3.93,3.93,24.14,-3.43,0,0,0.14924054426656277,4,5
1460,4.5,5.31,471.98,3.37,167,5.29,5.79,24.56,-2.75,0,0,0.14927159188750466,4,6
1584,4.5,6.45,435.38,4.05,26,5.29,7.64,24.57,-4.32,0,0,0.1492786302805129,4,4
1079,6.0,6.34,427.21,3.4,29,4.82,4.64,24.3,-2.36,0,0,0.14930523023891065,4,3
545,5.0,5.1,381.14,4.1,88,6.12,6.07,24.71,-7.86,0,0,0.14931033150229545,4,4
1090,5.5,6.7,380.0,3.7,130,5.3,4.93,24.5,-4.54,0,0,0.14933300133187244,4,2
834,6.0,8.6,365.6,5.34,25,5.3,5.42,20.47,-11.58,0,0,0.14934321086523053,4,6
199,4.5,6.6,405.46,3.17,122,4.92,4.61,24.02,-2.21,0,0,0.14935597058181288,4,2
896,4.0,5.4,375.56,3.32,432,5.36,5.36,24.51,-4.82,0,0,0.14940995523580136,4,3
1967,5.0,6.48,382.43,4.08,7,7.25,7.25,24.71,-8.0,0,0,0.14941097126186803,4,5
270,4.5,5.3,449.28,3.63,194,7.43,6.64,24.53,-2.14,0,0,0.14941206107290714,4,2
64,4.5,6.2,401.33,4.35,15,7.58,6.75,24.86,-8.29,0,0,0.14948109982797467,4,6
391,5.0,6.03,380.0,3.86,3,5.354239896,5.297020106000001,24.695,-4.486880364,0,0,0.1494842746079025,4,6
1616,4.5,6.22,461.07,3.89,75,5.7,5.93,24.52,-2.54,0,0,0.14955737470561728,4,3
416,4.0,5.9,386.76,3.25,142,5.54,5.54,24.33,-2.29,0,0,0.14956235776548207,4,5
496,5.0,5.85,380.0,4.13,18,5.21,5.21,24.75,-5.29,0,0,0.14956907984990905,4,5
941,5.0,6.0,431.83,3.57,71,8.42,8.36,24.44,-4.71,1,0,0.1495717562654792,4,1
1509,5.0,6.14,395.02,3.31,54,4.68,4.68,24.1,-3.71,0,0,0.14959860792849422,4,6
